Treatments,Time,BT,BV,CD,CH,BU,CS,CA,DP
BT-BV-CH-BU-CS-CA-DP_0,0,0.001428571,0.001428571,0,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571
BT-BV-CH-BU-CS-CA-DP_0,12,1.104770133,0.179777551,0,0.212015752,0.401490514,0.021472142,0.018853547,0.046787036
BT-BV-CH-BU-CS-CA-DP_0,24,1.04351902,0.026561931,0,0.191174923,0.303696177,0.039351074,0.028245874,0.059284295
BT-BV-MS014-BU-CS-CA-DP_0,0,0.001428571,0.001428571,0.001428571,0,0.001428571,0.001428571,0.001428571,0.001428571
BT-BV-MS014-BU-CS-CA-DP_0,12,0.660482988,0.047684671,0.637122202,0,0.32357306,0.081338199,0.031466646,0.024665554
BT-BV-MS014-BU-CS-CA-DP_0,24,0.512601042,0.121056219,0.767450672,0,0.222210273,0.116417441,0.107063495,0.026867508
BT-BV-MS014-CH-BU-CA-DP_0,0,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0,0.001428571,0.001428571
BT-BV-MS014-CH-BU-CA-DP_0,12,0.705446161,0.101523539,0.505029948,0.124171297,0.400372035,0,0.01684758,0.041609436
BT-BV-MS014-CH-BU-CA-DP_0,24,0.744873311,0.027299418,0.593813813,0.104757753,0.380907414,0,0.02287947,0.041802164
BT-BV-MS014-CH-BU-CS-CA_0,0,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0
BT-BV-MS014-CH-BU-CS-CA_0,12,0.67275859,0.109200306,0.532152819,0.110516024,0.308445582,0.066236447,0.016856878,0
BT-BV-MS014-CH-BU-CS-CA_0,24,0.617289003,0.025576239,0.623125181,0.088544166,0.215735466,0.079536375,0.042026864,0
BT-BV-MS014-CH-BU-CS-DP_0,0,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0,0.001428571
BT-BV-MS014-CH-BU-CS-DP_0,12,0.701301064,0.081521022,0.461578307,0.084490057,0.414243272,0.029577502,0,0.056622088
BT-BV-MS014-CH-BU-CS-DP_0,24,0.646484496,0.033867402,0.533540194,0.091337932,0.316356906,0.040875598,0,0.043204109
BT-BV-MS014-CH-CS-CA-DP_0,0,0.001428571,0.001428571,0.001428571,0.001428571,0,0.001428571,0.001428571,0.001428571
BT-BV-MS014-CH-CS-CA-DP_0,12,0.914455272,0.093995126,0.600349733,0.084624968,0,0.034549532,0.034007845,0.057850899
BT-BV-MS014-CH-CS-CA-DP_0,24,0.799922337,0.043153535,0.680180568,0.090525061,0,0.056599766,0.05973959,0.064545847
BT-CA_0,0,0.005,0,0,0,0,0,0.005,0
BT-CA_0,12,1.715623174,0,0,0,0,0,0.048043501,0
BT-CA_0,24,1.44498783,0,0,0,0,0,0.046512166,0
BT-MS014-CH-BU-CS-CA-DP_0,0,0.001428571,0,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571
BT-MS014-CH-BU-CS-CA-DP_0,12,0.797741266,0,0.442580228,0.107328258,0.533043085,0.023880765,0.013958378,0.062134693
BT-MS014-CH-BU-CS-CA-DP_0,24,0.767546868,0,0.456697659,0.080393679,0.322703459,0.046312235,0.021189204,0.075656897
BU-BT_0,0,0.005,0,0,0,0.005,0,0,0
BU-BT_0,12,1.237538642,0,0,0,0.413294653,0,0,0
BU-BT_0,24,1.211940777,0,0,0,0.354559197,0,0,0
BU-BV_0,0,0,0.005,0,0,0.005,0,0,0
BU-BV_0,12,0,0.677923254,0,0,0.677910064,0,0,0
BU-BV_0,24,0,1.007333068,0,0,0.352166929,0,0,0
BU-CA_0,0,0,0,0,0,0.005,0,0.005,0
BU-CA_0,12,0,0,0,0,1.230954535,0,0.070045441,0
BU-CA_0,24,0,0,0,0,0.939759544,0,0.133907125,0
BV-BT_0,0,0.005,0.005,0,0,0,0,0,0
BV-BT_0,12,1.759245252,0.229921442,0,0,0,0,0,0
BV-BT_0,24,1.38862985,0.378203472,0,0,0,0,0,0
BV-CA_0,0,0,0.005,0,0,0,0,0.005,0
BV-CA_0,12,0,1.215768651,0,0,0,0,0.278398007,0
BV-CA_0,24,0,1.108138883,0,0,0,0,0.285361094,0
BV-MS014-CH-BU-CS-CA-DP_0,0,0,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571
BV-MS014-CH-BU-CS-CA-DP_0,12,0,0.079691265,0.584944448,0.060735792,0.586400653,0.0384099,0.027832369,0.070485587
BV-MS014-CH-BU-CS-CA-DP_0,24,0,0.035295356,0.535175051,0.076885229,0.373051035,0.171465873,0.069321222,0.069972913
CH-BT_0,0,0.005,0,0,0.005,0,0,0,0
CH-BT_0,12,1.848360128,0,0,0.114973217,0,0,0,0
CH-BT_0,24,1.238869079,0,0,0.036630937,0,0,0,0
CH-BU_0,0,0,0,0,0.005,0.005,0,0,0
CH-BU_0,12,0,0,0,0.15348373,1.235182956,0,0,0
CH-BU_0,24,0,0,0,0.227194306,0.937805652,0,0,0
CH-BV_0,0,0,0.005,0,0.005,0,0,0,0
CH-BV_0,12,0,0.851890082,0,0.491776636,0,0,0,0
CH-BV_0,24,0,0.904308544,0,0.357191483,0,0,0,0
CH-CA_0,0,0,0,0,0.005,0,0,0.005,0
CH-CA_0,12,0,0,0,0.218695908,0,0,0.082304089,0
CH-CA_0,24,0,0,0,0.148478455,0,0,0.151354881,0
CH-CS_0,0,0,0,0,0.005,0,0.005,0,0
CH-CS_0,12,0,0,0,0.319806616,0,0.526860034,0,0
CH-CS_0,24,0,0,0,0.239503103,0,0.648996918,0,0
CH-DP_0,0,0,0,0,0.005,0,0,0,0.005
CH-DP_0,12,0,0,0,0.057250103,0,0,0,0.277416585
CH-DP_0,24,0,0,0,0.046018517,0,0,0,0.291398143
CS-BT_0,0,0.005,0,0,0,0,0.005,0,0
CS-BT_0,12,1.974250319,0,0,0,0,0.320583,0,0
CS-BT_0,24,1.692240411,0,0,0,0,0.377759618,0,0
CS-BU_0,0,0,0,0,0,0.005,0.005,0,0
CS-BU_0,12,0,0,0,0,0.882400116,0.742933219,0,0
CS-BU_0,24,0,0,0,0,0.688211432,0.677121873,0,0
CS-BV_0,0,0,0.005,0,0,0,0.005,0,0
CS-BV_0,12,0,1.001307491,0,0,0,0.358525845,0,0
CS-BV_0,24,0,1.018079541,0,0,0,0.145087177,0,0
CS-CA_0,0,0,0,0,0,0,0.005,0.005,0
CS-CA_0,12,0,0,0,0,0,0.39072319,0.007776807,0
CS-CA_0,24,0,0,0,0,0,0.796445552,0.271721073,0
CS-DP_0,0,0,0,0,0,0,0.005,0,0.005
CS-DP_0,12,0,0,0,0,0,0.344121404,0,0.145211948
CS-DP_0,24,0,0,0,0,0,0.189840092,0,0.234493228
DP-BT_0,0,0.005,0,0,0,0,0,0,0.005
DP-BT_0,12,1.941975593,0,0,0,0,0,0,0.067857769
DP-BT_0,24,1.870548571,0,0,0,0,0,0,0.06045144
DP-BU_0,0,0,0,0,0,0.005,0,0,0.005
DP-BU_0,12,0,0,0,0,0.724432791,0,0,0.680025524
DP-BU_0,24,0,0,0,0,0.36480403,0,0,0.893487665
DP-BV_0,0,0,0.005,0,0,0,0,0,0.005
DP-BV_0,12,0,1.413939791,0,0,0,0,0,0.20789352
DP-BV_0,24,0,1.188235427,0,0,0,0,0,0.326731266
DP-CA_0,0,0,0,0,0,0,0,0.005,0.005
DP-CA_0,12,0,0,0,0,0,0,0.002926229,0.131907108
DP-CA_0,24,0,0,0,0,0,0,0.005125868,0.150374126
MS014-BT_0,0,0.005,0,0.005,0,0,0,0,0
MS014-BT_0,12,1.528466799,0,0.702033289,0,0,0,0,0
MS014-BT_0,24,0.97007931,0,0.762920677,0,0,0,0,0
MS014-BU_0,0,0,0,0.005,0,0.005,0,0,0
MS014-BU_0,12,0,0,0.80247781,0,0.451022181,0,0,0
MS014-BU_0,24,0,0,0.692917518,0,0.407915805,0,0,0
MS014-BV_0,0,0,0.005,0.005,0,0,0,0,0
MS014-BV_0,12,0,0.282982659,1.028850709,0,0,0,0,0
MS014-BV_0,24,0,0.25296939,0.637697285,0,0,0,0,0
MS014-CA_0,0,0,0,0.005,0,0,0,0.005,0
MS014-CA_0,12,0,0,0.573706531,0,0,0,0.023126778,0
MS014-CA_0,24,0,0,0.407584143,0,0,0,0.020249187,0
MS014-CH-CS-DP-BU-BV-BT-CA_0,0,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125
MS014-CH-CS-DP-BU-BV-BT-CA_0,12,0.891657427,0.039020412,0.412709493,0.077172856,0.474504639,0.023622978,0.03111814,0.05419406
MS014-CH-CS-DP-BU-BV-BT-CA_0,24,0.784587843,0.012727052,0.398199419,0.080902454,0.28495894,0.035605051,0.053374149,0.057978442
MS014-CH_0,0,0,0,0.005,0.005,0,0,0,0
MS014-CH_0,12,0,0,0.312721486,0.05311185,0,0,0,0
MS014-CH_0,24,0,0,0.300231445,0.08860187,0,0,0,0
MS014-CS_0,0,0,0,0.005,0,0,0.005,0,0
MS014-CS_0,12,0,0,0.690232575,0,0,0.061267412,0,0
MS014-CS_0,24,0,0,0.603053414,0,0,0.106779921,0,0
MS014-DP_0,0,0,0,0.005,0,0,0,0,0.005
MS014-DP_0,12,0,0,0.433483404,0,0,0,0,0.1855166
MS014-DP_0,24,0,0,0.398232218,0,0,0,0,0.252101128
MonocultureMS014_0,0,0,0,0.007733334,0,0,0,0,0
MonocultureMS014_0,3,0,0,0.029599999,0,0,0,0,0
MonocultureMS014_0,6,0,0,0.313333332,0,0,0,0,0
MonocultureMS014_0,9,0,0,0.550933321,0,0,0,0,0
MonocultureMS014_0,12,0,0,0.624133328,0,0,0,0,0
MonocultureMS014_0,15,0,0,0.6183,0,0,0,0,0
MonocultureMS014_0,18,0,0,0.575600008,0,0,0,0,0
MonocultureMS014_0,21,0,0,0.533999999,0,0,0,0,0
MonocultureMS014_0,24,0,0,0.517533341,0,0,0,0,0
MonocultureBT_0,0,0.008733332,0,0,0,0,0,0,0
MonocultureBT_0,3,0.0602,0,0,0,0,0,0,0
MonocultureBT_0,6,0.505466679,0,0,0,0,0,0,0
MonocultureBT_0,9,1.093400021,0,0,0,0,0,0,0
MonocultureBT_0,12,1.098699986,0,0,0,0,0,0,0
MonocultureBT_0,15,1.044866661,0,0,0,0,0,0,0
MonocultureBT_0,18,1.004799981,0,0,0,0,0,0,0
MonocultureBT_0,21,0.997233331,0,0,0,0,0,0,0
MonocultureBT_0,24,1.018433352,0,0,0,0,0,0,0
MonocultureBU_0,0,0,0,0,0,0.008166665,0,0,0
MonocultureBU_0,3,0,0,0,0,0.039466669,0,0,0
MonocultureBU_0,6,0,0,0,0,0.203399995,0,0,0
MonocultureBU_0,9,0,0,0,0,0.607733329,0,0,0
MonocultureBU_0,12,0,0,0,0,0.912499964,0,0,0
MonocultureBU_0,15,0,0,0,0,0.904266695,0,0,0
MonocultureBU_0,18,0,0,0,0,0.83826667,0,0,0
MonocultureBU_0,21,0,0,0,0,0.777666667,0,0,0
MonocultureBU_0,24,0,0,0,0,0.736600001,0,0,0
MonocultureBV_0,0,0,0.001599997,0,0,0,0,0,0
MonocultureBV_0,3,0,0.031866664,0,0,0,0,0,0
MonocultureBV_0,6,0,0.399366646,0,0,0,0,0,0
MonocultureBV_0,9,0,0.899999995,0,0,0,0,0,0
MonocultureBV_0,12,0,0.994466642,0,0,0,0,0,0
MonocultureBV_0,15,0,1.066566685,0,0,0,0,0,0
MonocultureBV_0,18,0,1.029666681,0,0,0,0,0,0
MonocultureBV_0,21,0,0.994799991,0,0,0,0,0,0
MonocultureBV_0,24,0,0.971433341,0,0,0,0,0,0
MonocultureCA_0,0,0,0,0,0,0,0,0.010966668,0
MonocultureCA_0,3,0,0,0,0,0,0,0.010066668,0
MonocultureCA_0,6,0,0,0,0,0,0,0.011333336,0
MonocultureCA_0,9,0,0,0,0,0,0,0.01713333,0
MonocultureCA_0,12,0,0,0,0,0,0,0.02183333,0
MonocultureCA_0,15,0,0,0,0,0,0,0.022233327,0
MonocultureCA_0,18,0,0,0,0,0,0,0.022966662,0
MonocultureCA_0,21,0,0,0,0,0,0,0.02363333,0
MonocultureCA_0,24,0,0,0,0,0,0,0.022799998,0
MonocultureCH_0,0,0,0,0,0.009500001,0,0,0,0
MonocultureCH_0,3,0,0,0,0.026033336,0,0,0,0
MonocultureCH_0,6,0,0,0,0.066966667,0,0,0,0
MonocultureCH_0,9,0,0,0,0.268899987,0,0,0,0
MonocultureCH_0,12,0,0,0,0.259633332,0,0,0,0
MonocultureCH_0,15,0,0,0,0.309299995,0,0,0,0
MonocultureCH_0,18,0,0,0,0.321766664,0,0,0,0
MonocultureCH_0,21,0,0,0,0.353233347,0,0,0,0
MonocultureCH_0,24,0,0,0,0.341866671,0,0,0,0
MonocultureCS_0,0,0,0,0,0,0,0.007766663,0,0
MonocultureCS_0,3,0,0,0,0,0,0.0159,0,0
MonocultureCS_0,6,0,0,0,0,0,0.050433337,0,0
MonocultureCS_0,9,0,0,0,0,0,0.271666665,0,0
MonocultureCS_0,12,0,0,0,0,0,0.400433341,0,0
MonocultureCS_0,15,0,0,0,0,0,0.448433339,0,0
MonocultureCS_0,18,0,0,0,0,0,0.593699991,0,0
MonocultureCS_0,21,0,0,0,0,0,0.673966665,0,0
MonocultureCS_0,24,0,0,0,0,0,0.669933338,0,0
MonocultureDP_0,0,0,0,0,0,0,0,0,0.006600002
MonocultureDP_0,3,0,0,0,0,0,0,0,0.019833336
MonocultureDP_0,6,0,0,0,0,0,0,0,0.0385
MonocultureDP_0,9,0,0,0,0,0,0,0,0.076800003
MonocultureDP_0,12,0,0,0,0,0,0,0,0.120400006
MonocultureDP_0,15,0,0,0,0,0,0,0,0.126866668
MonocultureDP_0,18,0,0,0,0,0,0,0,0.138366679
MonocultureDP_0,21,0,0,0,0,0,0,0,0.156266659
MonocultureDP_0,24,0,0,0,0,0,0,0,0.172033329
