Treatments,Time,CA,BT,BU,BV,CS,CD,DP,CH
BV-MS014-CH-CS,0,0,0,0,0.0025,0.0025,0.0025,0,0.0025
BV-CA-MS014-CH,0,0.0025,0,0,0.0025,0,0.0025,0,0.0025
BU-BV-MS014-DP,0,0,0,0.0025,0.0025,0,0.0025,0.0025,0
BU-MS014-CH-DP,0,0,0,0.0025,0,0,0.0025,0.0025,0.0025
CA-MS014-CH-CS,0,0.0025,0,0,0,0.0025,0.0025,0,0.0025
BU-CA-MS014-DP,0,0.0025,0,0.0025,0,0,0.0025,0.0025,0
BT-BU-MS014-CH-DP,0,0,0.002,0.002,0,0,0.002,0.002,0.002
BU-BV-MS014-CH-DP,0,0,0,0.002,0.002,0,0.002,0.002,0.002
BV-CA-MS014-CH-CS,0,0.002,0,0,0.002,0.002,0.002,0,0.002
BU-BV-CA-MS014-DP,0,0.002,0,0.002,0.002,0,0.002,0.002,0
BU-CA-MS014-CH-CS,0,0.002,0,0.002,0,0.002,0.002,0,0.002
BU-CA-MS014-CH-DP,0,0.002,0,0.002,0,0,0.002,0.002,0.002
BU-CA-MS014-CS-DP,0,0.002,0,0.002,0,0.002,0.002,0.002,0
BU-BV-MS014-CH-CS-DP,0,0,0,0.001666667,0.001666667,0.001666667,0.001666667,0.001666667,0.001666667
BU-BV-CA-MS014-CH-DP,0,0.001666667,0,0.001666667,0.001666667,0,0.001666667,0.001666667,0.001666667
BU-CA-MS014-CH-CS-DP,0,0.001666667,0,0.001666667,0,0.001666667,0.001666667,0.001666667,0.001666667
BV-MS014-CH-CS,12,0,0,0,0.43650718,0.052111949,0.352698612,0,0.057348939
BV-CA-MS014-CH,12,0.002585684,0,0,0.416482814,0,0.361347201,0,0.047751005
BU-BV-MS014-DP,12,0,0,0.485413713,0.285037986,0,0.414581798,0.039466493,0
BU-MS014-CH-DP,12,0,0,0.499342208,0,0,0.324636877,0.098144661,0.014042947
CA-MS014-CH-CS,12,0.0004624,0,0,0,0.019482865,0.187700503,0,0.010354234
BU-CA-MS014-DP,12,0.004236613,0,0.410533961,0,0,0.615553252,0.063009538,0
BT-BU-MS014-CH-DP,12,0,1.11346098,0.499408823,0,0,0.317424607,0.042014833,0.049524116
BU-BV-MS014-CH-DP,12,0,0,0.74541435,0.305601534,0,0.198073849,0.130194433,0.037049152
BV-CA-MS014-CH-CS,12,0.003317563,0,0,0.495504884,0.058338333,0.370141341,0,0.067864578
BU-BV-CA-MS014-DP,12,0.009138144,0,0.601064485,0.311026276,0,0.460069527,0.077868225,0
BU-CA-MS014-CH-CS,12,0.002635598,0,0.384419856,0,0.057854427,0.343125763,0,0.025631062
BU-CA-MS014-CH-DP,12,0.002495983,0,0.396043248,0,0,0.252512093,0.122097366,0.011684642
BU-CA-MS014-CS-DP,12,0.006548518,0,0.347906202,0,0.011579986,0.493816294,0.066982352,0
BU-BV-MS014-CH-CS-DP,12,0,0,0.684074485,0.258321837,0.034213263,0.354819326,0.135821165,0.052249891
BU-BV-CA-MS014-CH-DP,12,0.010987334,0,0.664978349,0.401592502,0,0.159929117,0.145152864,0.033026473
BU-CA-MS014-CH-CS-DP,12,0.006572454,0,0.320686603,0,0.010769453,0.358776614,0.167893192,0.012135009
BV-MS014-CH-CS,24,0,0,0,0.329478131,0.177186239,0.343890892,0,0.14544476
BV-CA-MS014-CH,24,0.099505098,0,0,0.4594918,0,0.30566742,0,0.11050234
BU-BV-MS014-DP,24,0,0,0.445453157,0.107984345,0,0.597985647,0.050910173,0
BU-MS014-CH-DP,24,0,0,0.582098272,0,0,0.360429785,0.522552232,0.063253087
CA-MS014-CH-CS,24,0.004055808,0,0,0,0.052613003,0.383732044,0,0.019599133
BU-CA-MS014-DP,24,0.009373209,0,0.385418499,0,0,0.857879621,0.387495311,0
BT-BU-MS014-CH-DP,24,0,1.071572999,0.408933615,0,0,0.216721768,0.026260518,0.032677717
BU-BV-MS014-CH-DP,24,0,0,0.751239515,0.133729661,0,0.280138712,0.157298828,0.065426591
BV-CA-MS014-CH-CS,24,0.132384943,0,0,0.368219909,0.174701683,0.376567183,0,0.138792938
BU-BV-CA-MS014-DP,24,0.012758937,0,0.312871799,0.095868395,0,0.853642809,0.070524706,0
BU-CA-MS014-CH-CS,24,0.012398633,0,0.422580837,0,0.207983626,0.324721083,0,0.044315791
BU-CA-MS014-CH-DP,24,0.001843085,0,0.379331587,0,0,0.375376999,0.484620941,0.028494041
BU-CA-MS014-CS-DP,24,0.014693651,0,0.203494463,0,0.068609707,0.59265244,0.635799771,0
BU-BV-MS014-CH-CS-DP,24,0,0,0.475890167,0.124577421,0.05765019,0.282066253,0.101274375,0.075541628
BU-BV-CA-MS014-CH-DP,24,0.007660905,0,0.621626637,0.156558303,0,0.268530101,0.142444912,0.057345804
BU-CA-MS014-CH-CS-DP,24,0.003019007,0,0.367293577,0,0.037111508,0.348128685,0.55876092,0.029186271
