Treatments,Time,CA,BT,BU,BV,CS,CD,DP,CH
MS001-CH-CS,0,0,0,0,0,0.003333333,0.003333333,0,0.003333333
BV-CA-MS001-CH,0,0.0025,0,0,0.0025,0,0.0025,0,0.0025
BU-MS001-CH-CS,0,0,0,0.0025,0,0.0025,0.0025,0,0.0025
BU-MS001-CH-DP,0,0,0,0.0025,0,0,0.0025,0.0025,0.0025
CA-MS001-CH-CS,0,0.0025,0,0,0,0.0025,0.0025,0,0.0025
BU-CA-MS001-CS,0,0.0025,0,0.0025,0,0.0025,0.0025,0,0
BV-CA-MS001-CH-CS,0,0.002,0,0,0.002,0.002,0.002,0,0.002
BU-CA-MS001-CH-CS,0,0.002,0,0.002,0,0.002,0.002,0,0.002
BU-MS001-CH-CS-DP,0,0,0,0.002,0,0.002,0.002,0.002,0.002
CA-MS001-CH-CS-DP,0,0.002,0,0,0,0.002,0.002,0.002,0.002
BT-BU-CA-MS001-CH-CS,0,0.001666667,0.001666667,0.001666667,0,0.001666667,0.001666667,0,0.001666667
BU-BV-CA-MS001-CH-CS,0,0.001666667,0,0.001666667,0.001666667,0.001666667,0.001666667,0,0.001666667
BU-BV-MS001-CH-CS-DP,0,0,0,0.001666667,0.001666667,0.001666667,0.001666667,0.001666667,0.001666667
BU-BV-CA-MS001-CH-DP,0,0.001666667,0,0.001666667,0.001666667,0,0.001666667,0.001666667,0.001666667
BV-CA-MS001-CH-CS-DP,0,0.001666667,0,0,0.001666667,0.001666667,0.001666667,0.001666667,0.001666667
BU-CA-MS001-CH-CS-DP,0,0.001666667,0,0.001666667,0,0.001666667,0.001666667,0.001666667,0.001666667
MS001-CH-CS,12,0,0,0,0,0.017450254,0.174518453,0,0.010697962
BV-CA-MS001-CH,12,0.006156325,0,0,0.519841081,0,0.283933134,0,0.06990281
BU-MS001-CH-CS,12,0,0,0.385764945,0,0.035092743,0.460528604,0,0.014947041
BU-MS001-CH-DP,12,0,0,0.472682547,0,0,0.256394417,0.162855084,0.010234616
CA-MS001-CH-CS,12,0.000704336,0,0,0,0.01383693,0.179105318,0,0.012020086
BU-CA-MS001-CS,12,0.003774137,0,0.435532615,0,0.030622348,0.497570886,0,0
BV-CA-MS001-CH-CS,12,0.005360866,0,0,0.404686335,0.045403778,0.340075542,0,0.100640166
BU-CA-MS001-CH-CS,12,0.002283376,0,0.531532285,0,0.030853721,0.394283277,0,0.012214006
BU-MS001-CH-CS-DP,12,0,0,0.410135639,0,0.011819612,0.324995423,0.151682994,0.016866356
CA-MS001-CH-CS-DP,12,0.000933132,0,0,0,0.005633158,0.10738105,0.100656323,0.008729676
BT-BU-CA-MS001-CH-CS,12,0.000753668,1.090603684,0.231467817,0,0.015370212,0.234765949,0,0.025872022
BU-BV-CA-MS001-CH-CS,12,0.012102874,0,0.737340425,0.196847835,0.049112375,0.466361208,0,0.027735338
BU-BV-MS001-CH-CS-DP,12,0,0,0.549346033,0.213618887,0.023175988,0.371708771,0.166758055,0.058892266
BU-BV-CA-MS001-CH-DP,12,0.017333679,0,0.685163497,0.245646482,0,0.276790891,0.21398249,0.029916298
BV-CA-MS001-CH-CS-DP,12,0.022473002,0,0,0.252621731,0.019346514,0.143022415,0.177424178,0.128278816
BU-CA-MS001-CH-CS-DP,12,0.00496889,0,0.411887222,0,0.010480073,0.311809776,0.187563192,0.008957557
MS001-CH-CS,24,0,0,0,0,0.044631982,0.350251196,0,0.024283507
BV-CA-MS001-CH,24,0.125925023,0,0,0.571835575,0,0.295665957,0,0.142240114
BU-MS001-CH-CS,24,0,0,0.443764365,0,0.108084154,0.512697158,0,0.043787642
BU-MS001-CH-DP,24,0,0,0.564846946,0,0,0.304341973,0.507143859,0.033500554
CA-MS001-CH-CS,24,0.004020046,0,0,0,0.040363789,0.335221616,0,0.010894528
BU-CA-MS001-CS,24,0.008439587,0,0.435939032,0,0.052722339,0.781565697,0,0
BV-CA-MS001-CH-CS,24,0.099078332,0,0,0.414787281,0.177015359,0.422064481,0,0.085221206
BU-CA-MS001-CH-CS,24,0.008825883,0,0.534081222,0,0.09581001,0.485611866,0,0.037171035
BU-MS001-CH-CS-DP,24,0,0,0.410152034,0,0.03007201,0.393576929,0.577444877,0.052754147
CA-MS001-CH-CS-DP,24,0.00174311,0,0,0,0.009390994,0.115003689,0.20311491,0.005580611
BT-BU-CA-MS001-CH-CS,24,0.003803815,0.891013898,0.202108153,0,0.026570934,0.266155781,0,0.034347435
BT-BU-CA-MS001-CH-CS,24,0.019627985,0.301994628,0.374848045,0.036306507,0.061526627,0.453174545,0,0.038521628
BU-BV-MS001-CH-CS-DP,24,0,0,0.561466389,0.093228396,0.036892905,0.334603617,0.175590294,0.065385082
BU-BV-CA-MS001-CH-DP,24,0.006508636,0,0.66420582,0.103040913,0,0.347504913,0.241965323,0.051441018
BV-CA-MS001-CH-CS-DP,24,0.047123326,0,0,0.591404817,0.12768092,0.285013692,0.495310445,0.06346676
BU-CA-MS001-CH-CS-DP,24,0.001759671,0,0.384467789,0,0.020655594,0.430675892,0.433408662,0.05736571
